,scan,max_consecutive_b,max_consecutive_y,perc_in_ladder,QValue
207,9685,2,13,1.0,0.0
208,15444,4,10,0.9090909090909091,0.0
209,13279,4,7,1.0,0.0
210,12892,4,11,1.0,0.0
211,14467,2,7,0.8181818181818182,0.0
212,13919,3,9,1.0,0.0
213,13666,4,10,1.0,0.0
214,11685,3,7,1.0,0.0
215,13427,4,11,1.0,0.0
216,13767,5,8,0.8,0.0
217,16872,3,12,1.0,0.0
218,13308,4,9,1.0,0.0
219,14141,2,10,1.0,0.0
220,11468,5,10,1.0,0.0
221,12103,2,11,1.0,0.0
222,15206,1,11,0.9285714285714286,0.0
223,10933,6,9,1.0,0.0
224,10901,4,11,1.0,0.0
225,6851,4,7,1.0,0.0
226,7633,2,10,1.0,0.0
227,11548,7,6,1.0,0.0
228,9818,4,9,1.0,0.0
229,10138,7,8,1.0,0.0
230,14775,3,11,1.0,0.0
231,11538,3,6,0.9166666666666666,0.0
232,6987,5,4,0.875,0.0
233,11334,3,11,1.0,0.0
234,11319,3,10,0.9090909090909091,0.0
235,16693,4,9,1.0,0.0
236,15564,2,8,0.9230769230769231,0.0
237,10452,3,12,1.0,0.0
238,8346,5,9,1.0,0.0
239,16551,3,9,1.0,0.0
240,14491,2,10,0.9090909090909091,0.0
241,15251,2,9,0.9,0.0
242,10940,6,9,1.0,0.0
243,8302,5,9,1.0,0.0
244,14507,2,7,0.9,0.0
245,13964,4,11,1.0,0.0
246,17905,3,5,0.875,0.0
247,15093,6,9,1.0,0.0
248,11460,4,8,1.0,0.0
249,9711,2,11,1.0,0.0
250,7993,5,10,1.0,0.0
251,14004,2,13,1.0,0.0
252,10487,5,4,0.8888888888888888,0.0
253,10619,3,10,0.9090909090909091,0.0
254,8871,8,7,1.0,0.0
255,8617,5,5,1.0,0.0
256,10927,7,4,1.0,0.0
257,6945,8,6,0.8571428571428571,0.0
258,13117,2,13,1.0,0.0
259,11925,3,11,1.0,0.0
260,6666,2,11,1.0,0.0
261,10355,5,7,0.875,0.0
262,9573,7,8,1.0,0.0
263,14522,3,8,0.8333333333333334,0.0
264,11488,4,9,1.0,0.0
265,9605,4,4,1.0,0.0
266,9621,3,10,1.0,0.0
267,14899,1,5,1.0,0.0
268,10907,3,10,0.9090909090909091,0.0
269,10482,3,6,0.8181818181818182,0.0
270,13339,4,8,1.0,0.0
